LEA Code,LEA Name,Site Code,Site Name,In School Suspension,In School Expulsion,Out of School Suspension,Out of School Expulsion
038,Plaquemines Parish,038001,Belle Chasse High School                          ,10.43%,<5%,13.01%,<5%
038,Plaquemines Parish,038002,Belle Chasse Middle School                        ,<5%,<5%,14.3%,<5%
038,Plaquemines Parish,038003,Boothville-Venice Elementary School               ,<5%,<5%,<5%,<5%
038,Plaquemines Parish,038006,Phoenix High School                               ,<5%,<5%,<5%,<5%
038,Plaquemines Parish,038010,Belle Chasse Primary School                       ,<5%,<5%,<5%,<5%
038,Plaquemines Parish,038012,South Plaquemines Elementary School               ,24.31%,<5%,14.93%,<5%
038,Plaquemines Parish,038013,South Plaquemines High School                     ,13.41%,<5%,22.27%,<5%
039,Pointe Coupee Parish,039003,Livonia High School                               ,10.85%,<5%,11.06%,<5%
039,Pointe Coupee Parish,039008,Upper Pointe Coupee Elementary School             ,22.34%,<5%,14.63%,<5%
039,Pointe Coupee Parish,039010,Valverda Elementary School                        ,16.63%,<5%,6.7%,<5%
039,Pointe Coupee Parish,039012,Rosenwald Elementary School                       ,20.77%,<5%,22.57%,<5%
039,Pointe Coupee Parish,039013,Rougon Elementary School                          ,13.13%,<5%,13.49%,<5%
040,Rapides Parish,040001,Acadian Elementary New Vision Academy             ,<5%,<5%,9.43%,<5%
040,Rapides Parish,040002,Alexandria Middle Magnet School                   ,51.19%,7.61%,32.99%,<5%
040,Rapides Parish,040003,Alexandria Senior High School                     ,10.82%,<5%,8.64%,<5%
040,Rapides Parish,040004,Ball Elementary School                            ,<5%,<5%,<5%,<5%
040,Rapides Parish,040005,J.I. Barron Sr. Elementary School                 ,<5%,<5%,<5%,<5%
040,Rapides Parish,040006,Bolton High School                                ,<5%,<5%,<5%,<5%
040,Rapides Parish,040008,Scott M. Brame Middle School                      ,12.14%,<5%,12.24%,<5%
040,Rapides Parish,040009,Mabel Brasher Elementary School                   ,<5%,<5%,<5%,<5%
040,Rapides Parish,040010,Buckeye Elementary School                         ,<5%,<5%,<5%,<5%
040,Rapides Parish,040011,Buckeye High School                               ,20.02%,<5%,11.87%,<5%
040,Rapides Parish,040012,Cherokee Elementary School                        ,<5%,<5%,<5%,<5%
040,Rapides Parish,040013,Glenmora Elementary School                        ,<5%,<5%,<5%,<5%
040,Rapides Parish,040014,Glenmora High School                              ,5.93%,<5%,8.89%,<5%
040,Rapides Parish,040015,Mary Goff Elementary School                       ,<5%,<5%,<5%,<5%
040,Rapides Parish,040016,Horseshoe Drive Elementary New Vision Academy     ,<5%,<5%,<5%,<5%
040,Rapides Parish,040017,D.F. Huddle Elementary New Vision Academy         ,<5%,<5%,<5%,<5%
040,Rapides Parish,040018,Arthur F. Smith Middle Magnet School              ,37.95%,6.63%,28.71%,<5%
040,Rapides Parish,040022,Hadnot-Hayes S.T.E.M. Elementary School           ,<5%,<5%,<5%,<5%
040,Rapides Parish,040024,Martin Park Elementary School                     ,<5%,<5%,<5%,<5%
040,Rapides Parish,040026,J.B. Nachman Elementary School                    ,<5%,<5%,6.29%,<5%
040,Rapides Parish,040027,North Bayou Rapides Elementary New Vision Academy ,<5%,<5%,15.92%,<5%
040,Rapides Parish,040028,Oak Hill High School                              ,15.96%,<5%,8.23%,<5%
040,Rapides Parish,040029,Paradise Elementary School                        ,<5%,<5%,<5%,<5%
040,Rapides Parish,040030,Peabody Magnet High School                        ,<5%,<5%,15.38%,<5%
040,Rapides Parish,040031,Peabody Montessori Elementary School              ,<5%,<5%,<5%,<5%
040,Rapides Parish,040032,Pineville Elementary School                       ,<5%,<5%,<5%,<5%
040,Rapides Parish,040033,Pineville High School                             ,10.63%,<5%,5.67%,<5%
040,Rapides Parish,040034,Pineville Junior High School                      ,29.2%,<5%,17.33%,<5%
040,Rapides Parish,040035,Plainview High School                             ,<5%,<5%,<5%,<5%
040,Rapides Parish,040036,Poland Junior High School                         ,6.06%,<5%,7.83%,<5%
040,Rapides Parish,040037,Rapides High School                               ,19.8%,<5%,7.82%,<5%
040,Rapides Parish,040038,Carter C. Raymond Elementary School               ,5.69%,<5%,5.69%,<5%
040,Rapides Parish,040039,Julius Patrick Elementary School                  ,<5%,<5%,<5%,<5%
040,Rapides Parish,040040,Rosenthal Montessori Elementary School            ,<5%,<5%,<5%,<5%
040,Rapides Parish,040042,L.S. Rugg Elementary School                       ,<5%,<5%,<5%,<5%
040,Rapides Parish,040043,W.O. Hall Elementary School                       ,<5%,<5%,7.89%,<5%
040,Rapides Parish,040044,Lessie Moore Elementary School                    ,<5%,<5%,11.76%,<5%
040,Rapides Parish,040045,Alma Redwine Elementary New Vision Academy        ,<5%,<5%,5.38%,<5%
040,Rapides Parish,040047,Tioga Elementary School                           ,<5%,<5%,<5%,<5%
040,Rapides Parish,040048,Tioga High School                                 ,21.89%,<5%,11.45%,<5%
040,Rapides Parish,040049,Tioga Junior High School                          ,35.03%,<5%,15.99%,<5%
040,Rapides Parish,040052,Forest Hill Elementary School                     ,<5%,<5%,<5%,<5%
040,Rapides Parish,040055,Northwood High School                             ,17.31%,<5%,14.05%,<5%
040,Rapides Parish,040060,Oak Hill Elementary School                        ,<5%,<5%,<5%,<5%
040,Rapides Parish,040061,Phoenix Magnet Elementary School                  ,<5%,<5%,<5%,<5%
040,Rapides Parish,040065,Caroline Dormon Junior High School                ,<5%,<5%,<5%,<5%
041,Red River Parish,041002,Red River High School                             ,20.56%,<5%,<5%,<5%
041,Red River Parish,041009,Springville Educational Center                    ,36.59%,<5%,9.76%,<5%
041,Red River Parish,041010,Red River Elementary School                       ,12.62%,<5%,5.56%,<5%
041,Red River Parish,041011,Red River Junior High School                      ,30.82%,<5%,<5%,<5%
042,Richland Parish,042001,Delhi High School                                 ,<5%,<5%,32.54%,<5%
042,Richland Parish,042002,Delhi Middle School                               ,<5%,<5%,17.94%,<5%
042,Richland Parish,042003,Delhi Elementary School                           ,<5%,<5%,15.06%,<5%
042,Richland Parish,042004,Holly Ridge Elementary School                     ,<5%,<5%,10.07%,<5%
042,Richland Parish,042005,Mangham Elementary School                         ,<5%,<5%,<5%,<5%
042,Richland Parish,042006,Mangham High School                               ,<5%,<5%,7%,<5%
042,Richland Parish,042007,Mangham Junior High School                        ,<5%,<5%,12.82%,<5%
042,Richland Parish,042008,Rayville High School                              ,<5%,<5%,19.93%,<5%
042,Richland Parish,042009,Rayville Junior High School                       ,7.09%,<5%,43.62%,<5%
042,Richland Parish,042010,Rayville Elementary School                        ,<5%,<5%,8.15%,<5%
042,Richland Parish,042012,Start Elementary School                           ,<5%,<5%,<5%,<5%
043,Sabine Parish,043001,Converse High School                              ,<5%,<5%,<5%,<5%
043,Sabine Parish,043002,Ebarb School                                      ,<5%,<5%,9.65%,<5%
043,Sabine Parish,043004,Florien High School                               ,<5%,<5%,<5%,<5%
043,Sabine Parish,043005,Many Elementary School                            ,<5%,<5%,<5%,<5%
043,Sabine Parish,043006,Many High School                                  ,<5%,<5%,12.27%,<5%
043,Sabine Parish,043007,Many Junior High School                           ,11.34%,<5%,<5%,<5%
043,Sabine Parish,043008,Negreet High School                               ,<5%,<5%,<5%,<5%
043,Sabine Parish,043010,Pleasant Hill High School                         ,<5%,<5%,17.6%,<5%
043,Sabine Parish,043011,Zwolle Elementary School                          ,18.45%,<5%,9.83%,<5%
043,Sabine Parish,043012,Zwolle High School                                ,24.71%,<5%,8.72%,<5%
044,St. Bernard Parish,044001,Arabi Elementary School                           ,<5%,<5%,<5%,<5%
044,St. Bernard Parish,044006,Chalmette High School                             ,24.11%,<5%,12.4%,<5%
044,St. Bernard Parish,044008,J.F. Gauthier School                              ,<5%,<5%,<5%,<5%
044,St. Bernard Parish,044017,N.P. Trist Middle School                          ,21.91%,<5%,19.13%,<5%
044,St. Bernard Parish,044019,C.F. Rowley Alternative School                    ,25.7%,<5%,17.25%,<5%
044,St. Bernard Parish,044021,W. Smith Jr. Elementary School                    ,5.61%,<5%,17.49%,<5%
044,St. Bernard Parish,044023,St. Bernard Middle School                         ,29.21%,<5%,23.02%,<5%
044,St. Bernard Parish,044024,Chalmette Elementary School                       ,<5%,<5%,5.03%,<5%
044,St. Bernard Parish,044025,Andrew Jackson Middle School                      ,21.69%,<5%,7.1%,<5%
044,St. Bernard Parish,044027,Lacoste Elementary School                         ,<5%,<5%,<5%,<5%
045,St. Charles Parish,045001,Allemands Elementary School                       ,5.26%,<5%,<5%,<5%
045,St. Charles Parish,045003,Destrehan High School                             ,12.97%,<5%,<5%,<5%
045,St. Charles Parish,045005,Hahnville High School                             ,22.22%,<5%,<5%,<5%
045,St. Charles Parish,045006,R.K. Smith Middle School                          ,33.14%,<5%,6.34%,<5%
045,St. Charles Parish,045008,Lakewood Elementary School                        ,11.71%,<5%,5.04%,<5%
045,St. Charles Parish,045009,Luling Elementary School                          ,10.92%,<5%,<5%,<5%
045,St. Charles Parish,045010,J.B. Martin Middle School                         ,14.99%,<5%,<5%,<5%
045,St. Charles Parish,045011,Mimosa Park Elementary School                     ,<5%,<5%,<5%,<5%
045,St. Charles Parish,045013,Norco Elementary School                           ,<5%,<5%,<5%,<5%
045,St. Charles Parish,045014,Albert Cammon Middle School                       ,32.28%,<5%,<5%,<5%
045,St. Charles Parish,045015,St. Rose Elementary School                        ,<5%,<5%,<5%,<5%
045,St. Charles Parish,045016,A. A. Songy Sr. Kindergarten Center               ,<5%,<5%,<5%,<5%
045,St. Charles Parish,045017,R.J. Vial Elementary School                       ,9.57%,<5%,<5%,<5%
045,St. Charles Parish,045018,Harry M. Hurst Middle School                      ,9.41%,<5%,<5%,<5%
045,St. Charles Parish,045023,New Sarpy Elementary School                       ,<5%,<5%,<5%,<5%
045,St. Charles Parish,045024,Norco Primary                                     ,<5%,<5%,<5%,<5%
045,St. Charles Parish,045025,Ethel Schoeffner Elementary School                ,<5%,<5%,6.02%,<5%
046,St. Helena Parish,046002,St. Helena Central High School                    ,<5%,<5%,36.48%,<5%
046,St. Helena Parish,046005,St. Helena Central Elem School                    ,<5%,<5%,8.7%,<5%
047,St. James Parish,047001,Fifth Ward Elementary School                      ,<5%,<5%,14.74%,<5%
047,St. James Parish,047002,Gramercy Elementary School                        ,<5%,<5%,8.66%,<5%
047,St. James Parish,047003,Lutcher Elementary School                         ,<5%,<5%,28.57%,<5%
047,St. James Parish,047004,Lutcher High School                               ,35.11%,<5%,21.76%,<5%
047,St. James Parish,047006,Paulina Elementary School                         ,<5%,<5%,6.34%,<5%
047,St. James Parish,047008,St. James High School                             ,29.81%,<5%,25.04%,<5%
047,St. James Parish,047010,Sixth Ward Elementary School                      ,<5%,<5%,15.34%,<5%
047,St. James Parish,047011,Vacherie Elementary School                        ,<5%,<5%,<5%,<5%
048,St. John the Baptist Parish,048001,East St. John High School                         ,25.59%,<5%,12.2%,<5%
048,St. John the Baptist Parish,048006,LaPlace Elementary School                         ,19.62%,<5%,7.2%,<5%
048,St. John the Baptist Parish,048008,East St. John Elementary School                   ,12.89%,<5%,14.33%,<5%
048,St. John the Baptist Parish,048013,West St. John High School                         ,<5%,<5%,24.89%,<5%
048,St. John the Baptist Parish,048017,West St. John Elementary School (K-7)             ,5.79%,<5%,15.24%,<5%
048,St. John the Baptist Parish,048020,Fifth Ward Elementary School                      ,17.55%,<5%,13.12%,<5%
048,St. John the Baptist Parish,048021,Lake Pontchartrain Elementary School              ,9.89%,<5%,<5%,<5%
048,St. John the Baptist Parish,048024,John L. Ory Communications Magnet Elementary      ,<5%,<5%,<5%,<5%
048,St. John the Baptist Parish,048025,Garyville/Mt. Airy Math & Science Magnet Schl.    ,29.95%,<5%,14.73%,<5%
048,St. John the Baptist Parish,048026,St. John Alternative School                       ,<5%,<5%,17.45%,<5%
048,St. John the Baptist Parish,048028,Emily C. Watkins Elementary                       ,14.13%,<5%,11.06%,<5%
049,St. Landry Parish,049003,Cankton Elementary School                         ,<5%,<5%,<5%,<5%
049,St. Landry Parish,049004,Central Middle School                             ,<5%,<5%,9.09%,<5%
049,St. Landry Parish,049006,Creswell Elementary School                        ,<5%,<5%,11.64%,<5%
049,St. Landry Parish,049007,East Elementary School                            ,<5%,<5%,<5%,<5%
049,St. Landry Parish,049009,Eunice Elementary School                          ,<5%,<5%,<5%,<5%
049,St. Landry Parish,049010,Eunice High School                                ,9.12%,<5%,19.52%,<5%
049,St. Landry Parish,049011,Eunice Junior High School                         ,<5%,<5%,18.5%,<5%
049,St. Landry Parish,049013,Glendale Elementary School                        ,<5%,<5%,<5%,<5%
049,St. Landry Parish,049014,Grand Coteau Elementary School                    ,<5%,<5%,<5%,<5%
049,St. Landry Parish,049015,Grand Prairie Elementary School                   ,<5%,<5%,<5%,<5%
049,St. Landry Parish,049016,Grolee Elementary School                          ,<5%,<5%,<5%,<5%
049,St. Landry Parish,049017,Highland Elementary School                        ,<5%,<5%,<5%,<5%
049,St. Landry Parish,049018,Krotz Springs Elementary School                   ,<5%,<5%,9.47%,<5%
049,St. Landry Parish,049019,Lawtell Elementary School                         ,<5%,<5%,9.37%,<5%
049,St. Landry Parish,049021,Leonville Elementary School                       ,5.83%,<5%,10.84%,<5%
049,St. Landry Parish,049028,North Elementary School                           ,<5%,<5%,6.88%,<5%
049,St. Landry Parish,049029,Northeast Elementary School                       ,<5%,<5%,<5%,<5%
049,St. Landry Parish,049031,Opelousas Junior High School                      ,<5%,<5%,19.25%,<5%
049,St. Landry Parish,049032,Opelousas Senior High School                      ,<5%,<5%,15.68%,<5%
049,St. Landry Parish,049033,Palmetto Elementary School                        ,<5%,<5%,5.08%,<5%
049,St. Landry Parish,049037,Port Barre Elementary School                      ,<5%,<5%,<5%,<5%
049,St. Landry Parish,049038,Port Barre Middle School                          ,<5%,<5%,16.33%,<5%
049,St. Landry Parish,049040,South Street Elementary School                    ,<5%,<5%,9.11%,<5%
049,St. Landry Parish,049041,Southwest Elementary School                       ,<5%,<5%,<5%,<5%
049,St. Landry Parish,049042,Sunset Elementary School                          ,<5%,<5%,<5%,<5%
049,St. Landry Parish,049044,Washington Elementary School                      ,<5%,<5%,9.92%,<5%
049,St. Landry Parish,049051,North Central High School                         ,<5%,<5%,35.75%,<5%
049,St. Landry Parish,049052,Beau Chene High School                            ,<5%,<5%,15.08%,<5%
049,St. Landry Parish,049053,Northwest High School                             ,<5%,<5%,21.17%,<5%
049,St. Landry Parish,049054,Arnaudville Elementary School                     ,<5%,<5%,12.2%,<5%
049,St. Landry Parish,049055,Plaisance Elementary School                       ,<5%,<5%,15.96%,<5%
049,St. Landry Parish,049056,Port Barre High School                            ,<5%,<5%,20.49%,<5%
049,St. Landry Parish,049058,Magnet Academy for Cultural Arts                  ,<5%,<5%,7.45%,<5%
050,St. Martin Parish,050001,Breaux Bridge Elementary School                   ,11.31%,<5%,24.21%,<5%
050,St. Martin Parish,050002,Breaux Bridge Junior High School                  ,<5%,<5%,32.66%,<5%
050,St. Martin Parish,050003,Breaux Bridge Primary School                      ,<5%,<5%,<5%,<5%
050,St. Martin Parish,050004,Breaux Bridge High School                         ,19.87%,<5%,19.98%,<5%
050,St. Martin Parish,050005,Catahoula Elementary School                       ,<5%,<5%,6.75%,<5%
050,St. Martin Parish,050006,Cecilia Junior High School                        ,23.85%,<5%,26.22%,<5%
050,St. Martin Parish,050007,Cecilia Primary School                            ,<5%,<5%,<5%,<5%
050,St. Martin Parish,050008,Cecilia High School                               ,<5%,<5%,15.28%,<5%
050,St. Martin Parish,050009,Parks Middle School                               ,5.12%,<5%,19.51%,<5%
050,St. Martin Parish,050010,Parks Primary School                              ,<5%,<5%,<5%,<5%
050,St. Martin Parish,050012,Early Learning Center                             ,<5%,<5%,<5%,<5%
050,St. Martin Parish,050015,St. Martinville Junior High School                ,<5%,<5%,34.65%,<5%
050,St. Martin Parish,050016,St. Martinville Primary School                    ,7.09%,<5%,10.24%,<5%
050,St. Martin Parish,050017,St. Martinville Senior High School                ,13.26%,<5%,15.99%,<5%
050,St. Martin Parish,050019,Teche Elementary School                           ,<5%,<5%,14.56%,<5%
051,St. Mary Parish,051001,J.S. Aucoin Elementary School                     ,<5%,<5%,<5%,<5%
051,St. Mary Parish,051003,Bayou Vista Elementary School                     ,<5%,<5%,<5%,<5%
051,St. Mary Parish,051004,Berwick Elementary School                         ,<5%,<5%,<5%,<5%
051,St. Mary Parish,051005,Berwick Junior High School                        ,14.43%,<5%,<5%,<5%
051,St. Mary Parish,051006,Berwick High School                               ,5.84%,<5%,<5%,<5%
051,St. Mary Parish,051007,Centerville High School                           ,11.6%,<5%,<5%,<5%
051,St. Mary Parish,051010,W.P. Foster Elementary School                     ,<5%,<5%,8%,<5%
051,St. Mary Parish,051011,Franklin Junior High School                       ,36.96%,<5%,6.52%,<5%
051,St. Mary Parish,051012,Franklin Senior High School                       ,39.4%,<5%,<5%,<5%
051,St. Mary Parish,051018,LaGrange Elementary School                        ,<5%,<5%,<5%,<5%
051,St. Mary Parish,051019,Julia B. Maitland School                          ,<5%,<5%,<5%,<5%
051,St. Mary Parish,051020,Morgan City Junior High School                    ,15.57%,<5%,<5%,<5%
051,St. Mary Parish,051021,Morgan City High School                           ,15.76%,<5%,<5%,<5%
051,St. Mary Parish,051023,Patterson Junior High School                      ,17.85%,<5%,<5%,<5%
051,St. Mary Parish,051024,Patterson High School                             ,20.9%,<5%,<5%,<5%
051,St. Mary Parish,051026,M.D. Shannon Elementary School                    ,<5%,<5%,<5%,<5%
051,St. Mary Parish,051028,Hattie A. Watts Elementary School                 ,<5%,<5%,<5%,<5%
051,St. Mary Parish,051030,J. A. Hernandez Elementary School                 ,7.58%,<5%,<5%,<5%
051,St. Mary Parish,051031,Wyandotte Elementary School                       ,8.18%,<5%,<5%,<5%
051,St. Mary Parish,051035,M.E. Norman Elementary School                     ,<5%,<5%,<5%,<5%
051,St. Mary Parish,051038,B. Edward Boudreaux Middle School                 ,27.41%,<5%,<5%,<5%
051,St. Mary Parish,051039,West St. Mary High School                         ,24.83%,<5%,<5%,<5%
051,St. Mary Parish,051040,Raintree Elementary School                        ,7.92%,<5%,<5%,<5%
052,St. Tammany Parish,052001,Abita Springs Elementary School                   ,<5%,<5%,<5%,<5%
052,St. Tammany Parish,052002,Abita Springs Middle School                       ,9.8%,<5%,5.6%,<5%
052,St. Tammany Parish,052003,W.L. Abney Elementary School                      ,12.5%,<5%,<5%,<5%
052,St. Tammany Parish,052004,Alton Elementary School                           ,5.32%,<5%,<5%,<5%
052,St. Tammany Parish,052005,Bayou Lacombe Middle School                       ,11.27%,<5%,7.98%,<5%
052,St. Tammany Parish,052006,Bonne Ecole Elementary School                     ,<5%,<5%,<5%,<5%
052,St. Tammany Parish,052007,Boyet Junior High School                          ,9.42%,<5%,6.2%,<5%
052,St. Tammany Parish,052008,Glynn H. Brock Elementary School                  ,5.84%,<5%,<5%,<5%
052,St. Tammany Parish,052009,Carolyn Park Middle School                        ,17.2%,<5%,19.43%,<5%
052,St. Tammany Parish,052010,Chahta-Ima Elementary School                      ,5.87%,<5%,<5%,<5%
052,St. Tammany Parish,052011,Clearwood Junior High School                      ,17.49%,<5%,15.45%,<5%
052,St. Tammany Parish,052012,Covington Elementary School                       ,<5%,<5%,<5%,<5%
052,St. Tammany Parish,052013,Covington High School                             ,16.02%,<5%,8.32%,<5%
052,St. Tammany Parish,052016,Fifth Ward Junior High School                     ,7.67%,<5%,<5%,<5%
052,St. Tammany Parish,052017,Florida Avenue Elementary School                  ,<5%,<5%,<5%,<5%
052,St. Tammany Parish,052018,Folsom Elementary School                          ,7.07%,<5%,<5%,<5%
052,St. Tammany Parish,052019,Folsom Junior High School                         ,43.1%,<5%,12.5%,<5%
052,St. Tammany Parish,052020,Lee Road Junior High School                       ,12.07%,<5%,<5%,<5%
052,St. Tammany Parish,052021,Little Oak Middle School                          ,<5%,<5%,<5%,<5%
052,St. Tammany Parish,052022,E. E. Lyon Elementary School                      ,<5%,<5%,<5%,<5%
052,St. Tammany Parish,052023,Madisonville Elementary School                    ,<5%,<5%,<5%,<5%
052,St. Tammany Parish,052024,Madisonville Junior High School                   ,10.19%,<5%,<5%,<5%
052,St. Tammany Parish,052025,Mandeville Elementary School                      ,<5%,<5%,<5%,<5%
052,St. Tammany Parish,052026,Mandeville High School                            ,<5%,<5%,<5%,<5%
052,St. Tammany Parish,052027,Mandeville Junior High School                     ,7.72%,<5%,6.34%,<5%
052,St. Tammany Parish,052028,Mandeville Middle School                          ,5.67%,<5%,<5%,<5%
052,St. Tammany Parish,052029,Pearl River High School                           ,<5%,<5%,12.29%,<5%
052,St. Tammany Parish,052031,Pine View Middle School                           ,12.79%,<5%,11.78%,<5%
052,St. Tammany Parish,052032,William Pitcher Junior High School                ,6.3%,<5%,11.78%,<5%
052,St. Tammany Parish,052033,St. Tammany Junior High School                    ,32.46%,<5%,29.01%,<5%
052,St. Tammany Parish,052034,Creekside Junior High                             ,16.7%,<5%,14.31%,<5%
052,St. Tammany Parish,052035,Salmen High School                                ,25.22%,<5%,16.81%,<5%
052,St. Tammany Parish,052036,Sixth Ward Elementary School                      ,11.57%,<5%,<5%,<5%
052,St. Tammany Parish,052037,Slidell High School                               ,12.37%,<5%,14.68%,<5%
052,St. Tammany Parish,052038,Slidell Junior High School                        ,16.73%,<5%,19.33%,<5%
052,St. Tammany Parish,052039,Northshore High School                            ,8.21%,<5%,13.45%,<5%
052,St. Tammany Parish,052040,Bayou Woods Elementary School                     ,<5%,<5%,<5%,<5%
052,St. Tammany Parish,052044,Riverside Elementary School                       ,<5%,<5%,<5%,<5%
052,St. Tammany Parish,052045,Woodlake Elementary School                        ,<5%,<5%,<5%,<5%
052,St. Tammany Parish,052047,Honey Island Elementary School                    ,<5%,<5%,<5%,<5%
052,St. Tammany Parish,052049,Cypress Cove Elementary School                    ,<5%,<5%,<5%,<5%
052,St. Tammany Parish,052050,Pontchartrain Elementary School                   ,<5%,<5%,<5%,<5%
052,St. Tammany Parish,052051,Tchefuncte Middle School                          ,<5%,<5%,<5%,<5%
052,St. Tammany Parish,052052,Fontainebleau High School                         ,12.8%,<5%,5.36%,<5%
052,St. Tammany Parish,052053,Fontainebleau Junior High School                  ,11.54%,<5%,7.59%,<5%
052,St. Tammany Parish,052057,Lake Harbor Middle School                         ,<5%,<5%,<5%,<5%
052,St. Tammany Parish,052058,L.P. Monteleone Junior High School                ,9.12%,<5%,10.18%,<5%
052,St. Tammany Parish,052059,Little Pearl Elementary School                    ,<5%,<5%,<5%,<5%
052,St. Tammany Parish,052060,Marigny Elementary School                         ,<5%,<5%,<5%,<5%
052,St. Tammany Parish,052061,Lakeshore High School                             ,10.98%,<5%,10.09%,<5%
052,St. Tammany Parish,052062,Henry Mayfield Elementary School                  ,<5%,<5%,<5%,<5%
052,St. Tammany Parish,052063,Joseph B. Lancaster Elementary School             ,<5%,<5%,<5%,<5%
053,Tangipahoa Parish,053001,Amite Elementary Magnet School                    ,11.56%,<5%,6.67%,<5%
053,Tangipahoa Parish,053002,Amite High School                                 ,14.88%,<5%,9.44%,<5%
053,Tangipahoa Parish,053003,Champ Cooper Elementary School                    ,5.1%,<5%,<5%,<5%
053,Tangipahoa Parish,053004,Chesbrough Elementary School                      ,<5%,<5%,6.29%,<5%
053,Tangipahoa Parish,053009,Hammond High Magnet School                        ,32.76%,<5%,13.58%,<5%
053,Tangipahoa Parish,053010,Hammond Junior High Magnet School                 ,10.7%,<5%,35.26%,<5%
053,Tangipahoa Parish,053011,Independence Elementary School                    ,<5%,<5%,<5%,<5%
053,Tangipahoa Parish,053012,Independence High School                          ,15.78%,<5%,9.75%,<5%
053,Tangipahoa Parish,053013,Independence Middle Magnet School                 ,28.53%,<5%,27.25%,<5%
053,Tangipahoa Parish,053014,O.W. Dillon Memorial Elementary School            ,32.46%,<5%,16.73%,<5%
053,Tangipahoa Parish,053015,Kentwood High Magnet School                       ,41.64%,<5%,37.67%,<5%
053,Tangipahoa Parish,053016,Loranger Elementary School                        ,5.42%,<5%,<5%,<5%
053,Tangipahoa Parish,053017,Loranger High School                              ,22.56%,<5%,11.73%,<5%
053,Tangipahoa Parish,053018,Midway Elementary School                          ,<5%,<5%,<5%,<5%
053,Tangipahoa Parish,053020,Natalbany Elementary School                       ,<5%,<5%,21.03%,<5%
053,Tangipahoa Parish,053021,Lucille Nesom Middle School                       ,22.9%,<5%,22.9%,<5%
053,Tangipahoa Parish,053022,Ponchatoula Junior High School                    ,28.54%,<5%,17.34%,<5%
053,Tangipahoa Parish,053024,Ponchatoula High School                           ,32.8%,<5%,11.73%,<5%
053,Tangipahoa Parish,053025,D.C. Reeves Elementary School                     ,10.68%,<5%,7.97%,<5%
053,Tangipahoa Parish,053026,Roseland Elementary Montessori School             ,25.09%,<5%,22.61%,<5%
053,Tangipahoa Parish,053027,Southeastern LA University Lab School             ,<5%,<5%,<5%,<5%
053,Tangipahoa Parish,053028,Spring Creek Elementary School                    ,<5%,<5%,6.37%,<5%
053,Tangipahoa Parish,053029,Jewel M. Sumner High School                       ,36.04%,<5%,17.66%,<5%
053,Tangipahoa Parish,053030,Tucker Memorial Elementary School                 ,<5%,<5%,5.41%,<5%
053,Tangipahoa Parish,053031,Martha Vinyard Elementary School                  ,22.26%,<5%,11.07%,<5%
053,Tangipahoa Parish,053032,West Side Middle School                           ,51.25%,6.36%,21%,<5%
053,Tangipahoa Parish,053033,Woodland Park Elementary Magnet School            ,5.43%,<5%,6.15%,<5%
053,Tangipahoa Parish,053034,Perrin Early Learning Center                      ,<5%,<5%,<5%,<5%
053,Tangipahoa Parish,053037,Hammond Westside Elementary Montessori School     ,12.08%,<5%,9.57%,<5%
053,Tangipahoa Parish,053039,Hammond Eastside Elementary Magnet School         ,26.69%,<5%,13.14%,<5%
053,Tangipahoa Parish,053040,Loranger Middle School                            ,20.09%,<5%,6%,<5%
053,Tangipahoa Parish,053051,Jewel M. Sumner Middle School                     ,<5%,<5%,17.65%,<5%
054,Tensas Parish,054001,Tensas High School                                ,31.37%,<5%,14.39%,<5%
054,Tensas Parish,054003,Newellton Elementary School                       ,22.16%,<5%,9.19%,<5%
054,Tensas Parish,054005,Tensas Elementary School                          ,<5%,<5%,<5%,<5%
055,Terrebonne Parish,055001,Acadian Elementary School                         ,<5%,<5%,<5%,<5%
055,Terrebonne Parish,055003,Boudreaux Canal Elementary School                 ,<5%,<5%,<5%,<5%
055,Terrebonne Parish,055004,Bourg Elementary School                           ,<5%,<5%,<5%,<5%
055,Terrebonne Parish,055005,H. L. Bourgeois High School                       ,14.53%,<5%,11.12%,<5%
055,Terrebonne Parish,055006,Broadmoor Elementary School                       ,<5%,<5%,<5%,<5%
055,Terrebonne Parish,055007,Caldwell Middle School                            ,<5%,<5%,22.5%,<5%
055,Terrebonne Parish,055008,Coteau-Bayou Blue Elementary School               ,<5%,<5%,7.42%,<5%
055,Terrebonne Parish,055009,Dularge Elementary School                         ,<5%,<5%,<5%,<5%
055,Terrebonne Parish,055010,Dularge Middle School                             ,<5%,<5%,7.31%,<5%
055,Terrebonne Parish,055011,East Houma Elementary School                      ,<5%,<5%,<5%,<5%
055,Terrebonne Parish,055013,Ellender Memorial High School                     ,18.67%,<5%,13.25%,<5%
055,Terrebonne Parish,055014,Elysian Fields Middle School                      ,13.03%,<5%,19.44%,<5%
055,Terrebonne Parish,055015,Evergreen Junior High School                      ,24.24%,<5%,19.46%,<5%
055,Terrebonne Parish,055016,Gibson Elementary School                          ,<5%,<5%,6.09%,<5%
055,Terrebonne Parish,055017,Grand Caillou Elementary School                   ,<5%,<5%,10.77%,<5%
055,Terrebonne Parish,055018,Greenwood Middle School                           ,<5%,<5%,21.08%,<5%
055,Terrebonne Parish,055019,Honduras Elementary School                        ,<5%,<5%,<5%,<5%
055,Terrebonne Parish,055020,Houma Junior High School                          ,31.72%,<5%,26.62%,<5%
